Date,CL=F,EEM,ES=F,EURUSD=X,GBPUSD=X,GC=F,GLD,HYG,IEF,IWM,JPY=X,LQD,NQ=F,QQQ,SPY,TLT,USO,UUP,ZN=F
2023-02-08,78.47000122070312,37.314674377441406,4130.5,1.0729728937149048,1.2054582834243774,1877.4000244140625,174.41000366210938,62.27703094482422,87.09396362304688,184.82647705078125,131.04200744628906,94.58991241455078,12545.25,298.275146484375,392.6569519042969,92.33258056640625,68.68000030517578,24.2904052734375,113.40625
2023-02-09,78.05999755859375,37.49020767211914,4091.75,1.0715816020965576,1.2071462869644165,1866.199951171875,173.02999877929688,61.87471008300781,86.70240783691406,182.15077209472656,131.38699340820312,93.79473876953125,12425.5,295.6390380859375,389.2528991699219,91.45787811279297,67.91999816894531,24.255617141723633,113.03125
2023-02-10,79.72000122070312,37.12990188598633,4099.75,1.0742292404174805,1.2116806507110596,1862.800048828125,173.36000061035156,61.398502349853516,86.2841796875,182.5151824951172,131.5189971923828,93.13787078857422,12346.25,293.6986083984375,390.1612854003906,90.4344711303711,69.87000274658203,24.33388900756836,112.6875
2023-02-13,80.13999938964844,37.434776306152344,4147.25,1.0677714347839355,1.2052258253097534,1851.9000244140625,172.47999572753906,61.55449676513672,86.48885345458984,184.71136474609375,131.55099487304688,93.48357391357422,12540.5,298.4025573730469,394.74139404296875,91.19548034667969,69.5,24.264314651489258,112.78125
2023-02-14,79.05999755859375,37.3701057434082,4145.5,1.0730419158935547,1.215214490890503,1854.0,172.61000061035156,61.57096481323242,86.09729766845703,184.62503051757812,132.33700561523438,93.25023651123047,12631.0,300.60748291015625,394.5597839355469,90.98554992675781,69.4000015258789,24.24692153930664,112.328125
2023-02-15,78.58999633789062,37.055992126464844,4158.25,1.0735719203948975,1.2174336910247803,1834.199951171875,170.88999938964844,61.47240447998047,85.8392105102539,186.4951934814453,132.99099731445312,92.8958511352539,12730.0,302.9104309082031,395.84100341796875,90.13712310791016,69.0199966430664,24.41216278076172,112.046875
2023-02-16,78.48999786376953,37.06523513793945,4099.75,1.0691757202148438,1.2039779424667358,1842.0,170.75,60.979774475097656,85.55445861816406,184.71136474609375,133.9029998779297,92.15254211425781,12482.5,297.2265319824219,390.3907775878906,88.86004638671875,68.44999694824219,24.446950912475586,111.890625
2023-02-17,76.33999633789062,36.65873336791992,4087.5,1.0665756464004517,1.197533130645752,1840.4000244140625,171.25999450683594,61.21788024902344,85.7947006225586,185.2197265625,134.07400512695312,92.51555633544922,12390.0,295.1294250488281,389.41552734375,89.55106353759766,67.0199966430664,24.429555892944336,112.0
2023-02-20,,,,1.0684444904327393,1.2029786109924316,,,,,,134.3070068359375,,,,,,,,
2023-02-21,76.16000366210938,36.196807861328125,4005.75,1.068261981010437,1.2039200067520142,1833.0,170.6199951171875,60.27367401123047,84.86032104492188,179.75314331054688,134.33599853515625,91.2018051147461,12096.75,288.1421203613281,381.6034240722656,87.8104248046875,66.69000244140625,24.507827758789062,111.0625
2023-02-22,73.94999694824219,36.021270751953125,3999.0,1.065200924873352,1.2109322547912598,1832.0,169.66000366210938,60.66776657104492,85.0116195678711,180.2422637939453,134.9759979248047,91.46112060546875,12097.5,288.35772705078125,381.0774841308594,88.6151351928711,64.91999816894531,24.586101531982422,111.203125
